text;favorited;favoriteCount;replyToSN;created;truncated;replyToSID;id;replyToUID;statusSource;screenName;retweetCount;isRetweet;retweeted;longitude;latitude
RT @la_Biennale: #BiennaleCinema2020 #Venezia77 @ma_silvestre and @alexdelaIglesia pose on the red carpet of #30Coins https://t.co/ax2tbcJh…;FALSE;0;;2020-09-11 22:19:13;FALSE;;1304545055571693569;;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;flacarla;9;TRUE;FALSE;;
RT @Cineuropa: "At a certain point, you have to choose what you say as a filmmaker." 

Read our interview with Portuguese actress turned di…;FALSE;0;;2020-09-11 22:18:42;FALSE;;1304544928597528579;;<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>;waseemanda;2;TRUE;FALSE;;
#BiennaleCinema2020 #Venezia77 @ma_silvestre and @alexdelaIglesia pose on the red carpet of #30Coins https://t.co/ax2tbcJhfF;FALSE;21;;2020-09-11 22:18:37;FALSE;;1304544904916463619;;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;la_Biennale;9;FALSE;FALSE;;
RT @la_Biennale: #BiennaleCinema2020 #Venezia77 The cast of #InBetweenDying by #HilalBaydarov walk the red carpet https://t.co/T47iMYF5L7;FALSE;0;;2020-09-11 22:15:07;FALSE;;1304544024011956225;;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;imorkhanalii;42;TRUE;FALSE;;
RT @la_Biennale: #BiennaleCinema2020 #Venezia77 The cast of #InBetweenDying by #HilalBaydarov walk the red carpet https://t.co/T47iMYF5L7;FALSE;0;;2020-09-11 22:14:36;FALSE;;1304543894726680578;;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;IarosOscar;42;TRUE;FALSE;;
RT @DoubleEyeCo: Encore! Tomorrow is our last performance of "Finding Pandora X" live from #venezia77 #VeniceFilmFestival2020. Shoutout to…;FALSE;0;;2020-09-11 22:13:48;FALSE;;1304543692418461696;;<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>;the_play_ground;4;TRUE;FALSE;;
RT @BeastiesForever: #TheFurnace
Thanks to its harsh landscapes, rough characters, tough stories, perfectly represented and real, it moves…;FALSE;0;;2020-09-11 22:13:17;FALSE;;1304543565675139073;;<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>;JayRyKK;9;TRUE;FALSE;;
RT @OnTheLido: The @FIPRESCI Prize for competition goes to THE DISCIPLE!
#Venezia77;FALSE;0;;2020-09-11 22:09:47;FALSE;;1304542684162424833;;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;floatingartist;63;TRUE;FALSE;;
RT @OnTheLido: The @FIPRESCI Prize for competition goes to THE DISCIPLE!
#Venezia77;FALSE;0;;2020-09-11 22:08:34;FALSE;;1304542375730204682;;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;DIPESHrSONAR;63;TRUE;FALSE;;
RT @Versace: Live from Venice: #DiegoBoneta attends the 77th #VeniceFilmFestival in #AtelierVersace tailoring embellished with degradé Swar…;FALSE;0;;2020-09-11 22:08:24;FALSE;;1304542334164574208;;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;PawsUpGR;40;TRUE;FALSE;;
RT @la_Biennale: #BiennaleCinema2020 #Venezia77 The cast of #InBetweenDying by #HilalBaydarov walk the red carpet https://t.co/T47iMYF5L7;FALSE;0;;2020-09-11 22:07:04;FALSE;;1304541997936582657;;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;nigarabli;42;TRUE;FALSE;;
RT @Cinelais: We gave Chaitanya Tamhane's THE DISCIPLE the @FIPRESCI International Critics Prize, something I've been wanting to do since w…;FALSE;0;;2020-09-11 22:06:46;FALSE;;1304541924456427521;;<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>;Baba_go_migu;162;TRUE;FALSE;;
RT @Panavision: Congratulations to the team behind "Mainstream," which premiered at #Venezia77 this week. Shot by cinematographer Autumn Du…;FALSE;0;;2020-09-11 21:59:59;FALSE;;1304540218654154752;;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;cinemagrupo;2;TRUE;FALSE;;
